Benchmarks,FA,SYM
birthday-paradox,32.83,32.17
tower-of-hanoi,36.50,34.33
largest-sum-contiguous-subarray,36.67,35.67
rotate-bits-of-an-integer,36.83,33.17
min-cost-path,37.33,33.83
nth-fibonacci-number,37.50,31.83
longest-increasing-subsequence,37.67,32.83
sort-n-numbers-linear-time,40.33,35.83
dfa-based-division,40.83,34.17
lexicographic-rank-of-a-string,43.33,37.50
insertion-sort-linked-list,44.50,35.33
permutations-string,44.50,37.67
largest-independent-set,44.67,40.33
channel-assignment,45.00,37.00
anagram-substring,47.00,38.17
rod-cutting,47.33,35.00
n-queen,48.00,35.00
binary-insertion-sort,49.00,37.50
kth-smallest-largest-element,49.17,39.33
m-coloring,49.50,34.00
mergeSort_LinkedList,49.67,40.83
edit-distance,49.83,41.67
quicksort-for-linked-list,50.67,42.17
binomial-coefficient,52.50,33.50
maximum-sum-increasing-subsequence,52.83,36.00
k-closest-elements,53.50,39.33
merge-sort-for-doubly-linked-list,54.67,41.33
knights-tour,55.17,38.83
hamiltonian-cycle-backtracking,55.50,42.00
kmp,59.67,41.00
quicksort-linked-list,59.83,41.50
longest-palindrome-substring,60.17,41.50
rabin-karp,60.17,38.50
Iterative_QuickSort,66.17,41.17
sudoku,66.17,44.50
palindrome-partitioning,67.00,38.67
boyer-moore,71.33,44.67
subset-sum,72.00,37.83
transitive-closure-of-a-graph,72.83,36.17
longest-bitonic-subsequence,76.17,38.67
shortest-common-supersequence,76.17,38.50
floyd-warshall,77.17,40.50
dfs,77.50,62.50
partition-problem,81.33,37.67
bellman-ford,82.00,48.83
vertex-cover-problem,83.00,62.67
cycle-in-a-graph,83.33,64.67
cycle-undirected-graph,84.50,62.33
box-stacking,85.50,46.83
optimal-binary-search-tree,95.50,41.33
karatsuba,97.00,70.33
bfs,98.33,74.00
trie-suffixes,99.17,71.83
longest-palindromic-subsequence,103.83,36.17
matrix-chain-multiplication,105.50,39.17
biconnectivity,107.33,72.00
cut-vertices,110.17,74.17
eulerian-path-and-circuit,115.00,83.83
graph-coloring,118.00,78.00
euler-circuit-directed-graph,126.83,87.00
boruvkas,140.50,50.00
weighted-job-scheduling,149.33,98.83
topological-sorting,188.33,137.67
tarjan,204.50,142.83
aho-corasick,205.17,132.00
strongly-connected-components,215.00,143.33
longest-path-directed-acyclic-graph,234.00,156.17
Nearly-sorted-algo,246.00,171.17
minimum-cut-in-a-directed-graph,247.67,120.17
kasai,389.67,190.17
boolean-parenthesization-problem,1442.67,48.33
